,timestamp,gmtoffset,datetime,open,high,low,close,volume,Change
0,1602509400,0,2020-10-12 13:30:00,120.059997,121.330101,119.2845,120.919998,48082766.0,-14.290007999999986
1,1602513000,0,2020-10-12 14:30:00,120.919998,122.639999,120.769996,122.529998,27028067.0,1.6099999999999994
2,1602516600,0,2020-10-12 15:30:00,122.525001,123.629997,122.29,123.261001,35722193.0,0.731002999999987
3,1602520200,0,2020-10-12 16:30:00,123.260002,124.0,123.04,123.93,22891159.0,0.6689990000000137
4,1602523800,0,2020-10-12 17:30:00,124.089996,125.18,123.910003,125.050003,31443470.0,1.120002999999997
5,1602527400,0,2020-10-12 18:30:00,125.055,125.089996,123.620002,124.314102,33397068.0,-0.7359009999999984
6,1602531000,0,2020-10-12 19:30:00,124.319999,124.660003,123.959999,124.419998,20805442.0,0.10589600000000132
7,1602595800,0,2020-10-13 13:30:00,125.269996,125.389999,121.835998,123.757202,61658615.0,-0.6627960000000002
8,1602599400,0,2020-10-13 14:30:00,123.757202,124.739997,123.030998,124.43,26733665.0,0.6727980000000002
9,1602603000,0,2020-10-13 15:30:00,124.419998,124.650001,122.459999,123.080001,26171816.0,-1.349999000000011
10,1602606600,0,2020-10-13 16:30:00,123.079902,123.68,120.779998,122.5998,40665952.0,-0.4802009999999939
11,1602610200,0,2020-10-13 17:30:00,122.599899,122.669998,119.650001,120.910003,50616701.0,-1.6897969999999987
12,1602613800,0,2020-10-13 18:30:00,120.890098,122.199996,120.470001,121.800003,27533718.0,0.8900000000000006
13,1602617400,0,2020-10-13 19:30:00,121.800003,122.050003,121.029998,121.050003,16221506.0,-0.75
14,1602682200,0,2020-10-14 13:30:00,121.0,123.019996,120.04,121.689903,41414544.0,0.6398999999999972
15,1602685800,0,2020-10-14 14:30:00,121.690002,122.389999,121.18,121.599998,17702126.0,-0.08990500000000168
16,1602689400,0,2020-10-14 15:30:00,121.61,121.730003,119.709999,120.247703,22141570.0,-1.352294999999998
17,1602693000,0,2020-10-14 16:30:00,120.25,120.769897,120.0,120.139999,15375733.0,-0.10770399999999825
18,1602696600,0,2020-10-14 17:30:00,120.145698,121.199996,119.620002,120.839996,16700965.0,0.6999969999999962
19,1602700200,0,2020-10-14 18:30:00,120.834999,121.730003,120.519996,121.470001,15856230.0,0.630004999999997
20,1602703800,0,2020-10-14 19:30:00,121.470001,122.0,121.139999,121.18,12737224.0,-0.2900009999999895
21,1602768600,0,2020-10-15 13:30:00,119.200202,120.629997,118.150001,119.5699,32239727.0,-1.6101000000000028
22,1602772200,0,2020-10-15 14:30:00,119.536201,120.11,119.010002,119.849998,15942234.0,0.2800979999999953
23,1602775800,0,2020-10-15 15:30:00,119.839996,120.650001,119.75,119.859199,13177228.0,0.009201000000004456
24,1602779400,0,2020-10-15 16:30:00,119.86,120.069999,119.389999,119.556999,9297118.0,-0.30219999999999914
25,1602783000,0,2020-10-15 17:30:00,119.563499,120.639999,119.470001,120.608398,9840300.0,1.0513989999999893
26,1602786600,0,2020-10-15 18:30:00,120.600097,121.199996,120.199996,120.955001,13708516.0,0.34660300000000177
27,1602790200,0,2020-10-15 19:30:00,120.959999,121.099998,120.580001,120.699996,10018787.0,-0.25500499999999704
28,1602855000,0,2020-10-16 13:30:00,121.279998,121.547996,120.349998,121.150001,30027919.0,0.45000500000000443
29,1602858600,0,2020-10-16 14:30:00,121.160003,121.228302,119.529998,119.889999,16555427.0,-1.260002
30,1602862200,0,2020-10-16 15:30:00,119.889999,120.11,119.459999,119.830001,12056326.0,-0.05999800000000732
31,1602865800,0,2020-10-16 16:30:00,119.830001,120.300003,119.29,120.059997,11855544.0,0.22999599999999987
32,1602869400,0,2020-10-16 17:30:00,120.050003,120.36,119.875,120.1651,8262488.0,0.10510299999999972
33,1602873000,0,2020-10-16 18:30:00,120.169998,120.5,119.709999,119.907699,12470754.0,-0.25740100000000155
34,1602876600,0,2020-10-16 19:30:00,119.900001,119.949996,118.809997,118.970001,13419062.0,-0.9376979999999975
35,1603114200,0,2020-10-19 13:30:00,119.959999,120.400001,118.79,119.5,25066847.0,0.5299990000000037
