cupcake0_location, wine0_location, apple0_location, fridge_state, dishwasher_state, tv_state, Act_A, LocA_A, Act_B, LocA_B, Close_B
INSIDE_kitchen_ON_kitchentable, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_bedroom185, bathroom, walktowards_kitchen50, livingroom, None
INSIDE_kitchen_ON_kitchentable, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_bedroom185, bathroom, walktowards_kitchen50, livingroom, None
INSIDE_kitchen_ON_kitchentable, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_bedroom185, bathroom, walktowards_kitchen50, livingroom, None
INSIDE_kitchen_ON_kitchentable, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_bedroom185, bathroom, walktowards_kitchen50, livingroom, None
INSIDE_kitchen_ON_kitchentable, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchen50, bathroom, walktowards_kitchen50, livingroom, None
INSIDE_kitchen_ON_kitchentable, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchen50, bathroom, walktowards_bedroom185, livingroom, None
INSIDE_kitchen_ON_kitchentable, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchencabinet133, kitchen, walktowards_bedroom185, kitchen, None
INSIDE_kitchen_ON_kitchentable, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchencabinet133, kitchen, walktowards_bedroom185, kitchen, None
INSIDE_kitchen_ON_kitchentable, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchencabinet133, kitchen, walktowards_bedroom185, kitchen, kitchentable
INSIDE_kitchen_ON_kitchentable, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchencabinet133, kitchen, walktowards_bedroom185, kitchen, bookbookcupcakekitchentableplate
INSIDE_kitchen_ON_kitchentable, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchencabinet133, kitchen, walktowards_bedroom185, kitchen, bookcupcakekitchentableplate
INSIDE_kitchen_ON_kitchentable, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchencabinet133, kitchen, walktowards_bedroom185, kitchen, cupcakekitchentableplate
INSIDE_kitchen_ON_kitchentable, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, open_kitchencabinet133, kitchen, walktowards_bedroom185, kitchen, kitchentableplateplate
INSIDE_kitchen_ON_kitchentable, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, grab_apple333, kitchen, walktowards_bedroom185, kitchen, bookbookfridgeplate
INSIDE_kitchen_ON_kitchentable, INSIDE_bedroom_ON_coffeetable, in_agentHandsA, CLOSED, CLOSED, OFF, close_kitchencabinet133, kitchen, walktowards_wine337, bedroom, bookbookfridgeplate
INSIDE_kitchen_ON_kitchentable, INSIDE_bedroom_ON_coffeetable, in_agentHandsA, CLOSED, CLOSED, OFF, walktowards_fridge149, kitchen, walktowards_wine337, bedroom, bookbookplate
INSIDE_kitchen_ON_kitchentable, INSIDE_bedroom_ON_coffeetable, in_agentHandsA, CLOSED, CLOSED, OFF, walktowards_fridge149, kitchen, walktowards_wine337, bedroom, bookbook
INSIDE_kitchen_ON_kitchentable, INSIDE_bedroom_ON_coffeetable, in_agentHandsA, CLOSED, CLOSED, OFF, walktowards_fridge149, kitchen, walktowards_kitchen50, bedroom, book
INSIDE_kitchen_ON_kitchentable, INSIDE_bedroom_ON_coffeetable, in_agentHandsA, CLOSED, CLOSED, OFF, walktowards_fridge149, kitchen, walktowards_kitchen50, bedroom, book
INSIDE_kitchen_ON_kitchentable, INSIDE_bedroom_ON_coffeetable, in_agentHandsA, CLOSED, CLOSED, OFF, open_fridge149, kitchen, walktowards_kitchen50, bedroom, bookbookplate
INSIDE_kitchen_ON_kitchentable, INSIDE_bedroom_ON_coffeetable, in_agentHandsA, OPEN, CLOSED, OFF, putin_apple_fridge, kitchen, walktowards_kitchen50, bedroom, bookbookfridgeplate
INSIDE_kitchen_ON_kitchentable, INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_fridge, OPEN, CLOSED, OFF, walktowards_cupcake332, kitchen, walktowards_cupcake332, kitchen, applebookfridge
