juice0_location, pancake0_location, fridge_state, dishwasher_state, tv_state, Act_A, LocA_A, Act_B, LocA_B, Close_B
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, walktowards_kitchen50, bedroom, walktowards_kitchen50, bathroom, None
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, walktowards_kitchen50, bedroom, walktowards_kitchen50, bathroom, None
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, walktowards_kitchen50, bedroom, walktowards_kitchen50, bathroom, None
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, walktowards_kitchen50, bedroom, walktowards_kitchen50, bathroom, plate
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, open_fridge149, kitchen, walktowards_dishwasher152, kitchen, bookbookplateplate
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, OPEN, CLOSED, OFF, grab_juice333, kitchen, walktowards_dishwasher152, kitchen, kitchentableplateplate
in_agentHandsA, INSIDE_kitchen_INSIDE_dishwasher, OPEN, CLOSED, OFF, putback_juice_kitchentable, kitchen, walktowards_dishwasher152, kitchen, kitchentable
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_dishwasher, OPEN, CLOSED, OFF, walktowards_dishwasher152, kitchen, walktowards_dishwasher152, kitchen, fridgejuicekitchentablepoundcake
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_dishwasher, OPEN, CLOSED, OFF, walktowards_dishwasher152, kitchen, walktowards_dishwasher152, kitchen, juicekitchentable
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_dishwasher, OPEN, CLOSED, OFF, walktowards_dishwasher152, kitchen, walktowards_dishwasher152, kitchen, kitchentable
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_dishwasher, OPEN, CLOSED, OFF, walktowards_dishwasher152, kitchen, open_dishwasher152, kitchen, coffeepotcupcakedishwasherkitchencabinetpancakeplatepuddingpudding
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_dishwasher, OPEN, CLOSED, OFF, walktowards_dishwasher152, kitchen, open_dishwasher152, kitchen, coffeepotcupcakedishwasherkitchencabinetpancakeplatepuddingpudding
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_dishwasher, OPEN, OPEN, OFF, walktowards_pancake334, kitchen, grab_pancake334, kitchen, coffeepotcupcakedishwasherkitchencabinetpancakeplatepuddingpudding
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_dishwasher, OPEN, OPEN, OFF, grab_pancake334, kitchen, grab_pancake334, kitchen, coffeepotcupcakedishwasherkitchencabinetpancakeplatepuddingpudding
INSIDE_kitchen_ON_kitchentable, in_agentHandsA, OPEN, OPEN, OFF, walktowards_kitchentable123, kitchen, null, kitchen, coffeepotcupcakedishwasherkitchencabinetplatepuddingpudding
INSIDE_kitchen_ON_kitchentable, in_agentHandsA, OPEN, OPEN, OFF, putback_pancake_kitchentable, kitchen, null, kitchen, coffeepotcupcakedishwasherkitchencabinetplatepuddingpudding
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_ON_kitchentable, OPEN, OPEN, OFF, null, kitchen, null, kitchen, coffeepotcupcakedishwasherkitchencabinetplatepuddingpudding
