juice0_location, pancake0_location, fridge_state, dishwasher_state, tv_state, Act_A, LocA_A, Act_B, LocA_B, Close_B
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, walktowards_kitchen50, bedroom, walktowards_kitchen50, bathroom, cabinet
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, walktowards_kitchen50, bedroom, walktowards_kitchen50, bathroom, None
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, walktowards_kitchen50, bedroom, walktowards_kitchen50, bathroom, None
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, walktowards_kitchen50, bedroom, walktowards_kitchen50, bathroom, plate
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, walktowards_kitchen50, bedroom, walktowards_dishwasher152, kitchen, bookplateplate
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, walktowards_kitchen50, bedroom, walktowards_dishwasher152, kitchen, bookplateplate
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, walktowards_kitchen50, bedroom, walktowards_dishwasher152, kitchen, kitchentableplate
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, open_fridge149, kitchen, walktowards_fridge149, kitchen, kitchentable
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, open_fridge149, kitchen, walktowards_dishwasher152, kitchen, fridgejuicekitchentablepoundcake
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, OPEN, CLOSED, OFF, grab_juice333, kitchen, walktowards_juice333, kitchen, kitchentable
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_dishwasher, OPEN, CLOSED, OFF, close_fridge149, kitchen, grab_juice333, kitchen, fridgejuicekitchentablepoundcake
in_agentHandsB, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, walktowards_dishwasher152, kitchen, putback_juice_kitchentable, kitchen, juicekitchentable
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, walktowards_dishwasher152, kitchen, walktowards_dishwasher152, kitchen, juicekitchentable
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, walktowards_dishwasher152, kitchen, walktowards_dishwasher152, kitchen, juicekitchentable
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, walktowards_dishwasher152, kitchen, walktowards_dishwasher152, kitchen, juicekitchentable
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, CLOSED, OFF, open_dishwasher152, kitchen, walktowards_dishwasher152, kitchen, coffeepotjuicekitchencabinetkitchentable
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, OPEN, OFF, grab_pancake334, kitchen, walktowards_pancake334, kitchen, coffeepotjuicekitchencabinetkitchentable
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_INSIDE_dishwasher, CLOSED, OPEN, OFF, grab_pancake334, kitchen, grab_pancake334, kitchen, coffeepotcupcakedishwasherkitchencabinetpancakeplatepuddingpudding
INSIDE_kitchen_ON_kitchentable, in_agentHandsA, CLOSED, OPEN, OFF, close_dishwasher152, kitchen, null, kitchen, coffeepotcupcakedishwasherkitchencabinetplatepuddingpudding
INSIDE_kitchen_ON_kitchentable, in_agentHandsA, CLOSED, CLOSED, OFF, walktowards_kitchentable123, kitchen, null, kitchen, coffeepotcupcakedishwasherkitchencabinetplatepuddingpudding
INSIDE_kitchen_ON_kitchentable, in_agentHandsA, CLOSED, CLOSED, OFF, walktowards_kitchentable123, kitchen, null, kitchen, coffeepotcupcakedishwasherkitchencabinetplatepuddingpudding
INSIDE_kitchen_ON_kitchentable, in_agentHandsA, CLOSED, CLOSED, OFF, putback_pancake_kitchentable, kitchen, null, kitchen, coffeepotcupcakedishwasherkitchencabinetplatepuddingpudding
INSIDE_kitchen_ON_kitchentable, INSIDE_kitchen_ON_kitchentable, CLOSED, CLOSED, OFF, null, kitchen, null, kitchen, coffeepotcupcakedishwasherkitchencabinetplatepuddingpudding
